metric,true_mean,false_mean,true_std,false_std,mean_diff,mann_whitney_stat,p_value,cohens_d,true_count,false_count
uid_variance_equal,0.15552081344768476,0.15516933763718893,0.02320599955689301,0.02933473216185932,0.0003514758104958271,1105.0,0.183726033818307,0.014145556177591487,75,25
uid_gini_equal,0.09413266674918176,0.07587372181051558,0.039583493542017255,0.03188950595630596,0.018258944938666186,1141.0,0.10610720041876782,0.48247719904304676,75,25
uid_shannon_equal,0.9066018541550792,0.921839007718006,0.018841052242632658,0.010561982524453043,-0.015237153562926764,454.0,0.00012063913910345478,-0.8865858670809957,75,25
uid_variance_logprob,1.0,1.0,1.9099255009006877e-16,1.6958936828758672e-16,0.0,976.0,0.7493360841211972,0.0,75,25
uid_gini_logprob,0.10425636580163916,0.09041494847648814,0.0328479384454818,0.03237469958879742,0.013841417325151026,1118.0,0.1518996929606815,0.42286238356924083,75,25
uid_shannon_logprob,0.965314148644235,0.9693800820452994,0.012271370164830027,0.012114703892442775,-0.0040659334010643144,741.0,0.11870829913181928,-0.3323690651067546,75,25
uid_variance_confidence_gap,1.0,1.0,1.7554167342883506e-16,2.1499376424746292e-16,0.0,1042.0,0.3794646381000646,0.0,75,25
uid_gini_confidence_gap,0.13736444747183124,0.1119703522824357,0.04507577749256877,0.03761682219237833,0.025394095189395546,1208.0,0.031612184729719536,0.5855508337339353,75,25
uid_shannon_confidence_gap,0.8871950346775608,0.9033606024726241,0.025861770425358248,0.019933096672440986,-0.016165567795063285,555.0,0.002359241341886884,-0.6586730058911439,75,25
uid_variance_entropy,1.0,1.0,1.843357004984925e-16,1.4686870114880517e-16,0.0,997.0,0.6105538506364314,0.0,75,25
uid_gini_entropy,0.45585190435792894,0.435618163481248,0.07404046765544998,0.09051247954070858,0.02023374087668095,1067.0,0.3044777357235744,0.25809957131034383,75,25
uid_shannon_entropy,0.9157677810563732,0.9337305625851205,0.021496925439328914,0.01575182791083418,-0.017962781528747307,419.0,3.7326525931733014e-05,-0.8874322365819509,75,25
