metric,true_mean,false_mean,true_std,false_std,mean_diff,mann_whitney_stat,p_value,cohens_d,true_count,false_count
uid_variance_equal,0.14612263074856663,0.1514577871093299,0.014959488596442111,0.013834423316692929,-0.00533515636076326,872.0,0.021206821015928357,-0.3673792549382553,60,40
uid_gini_equal,0.14533120588327214,0.11711404369725989,0.0443723163383087,0.04434002975946388,0.02821716218601225,1651.0,0.0015259275623114923,0.6361023232109271,60,40
uid_shannon_equal,0.909895636331708,0.9259672228329722,0.023542208671268796,0.03013304476392149,-0.016071586501264168,601.0,2.5420751258830817e-05,-0.6096214548445045,60,40
uid_variance_logprob,1.0,1.0,2.0644259412161192e-16,1.88142511733674e-16,0.0,942.5,0.05658988780739784,0.0,60,40
uid_gini_logprob,0.15656401285837943,0.144436030049396,0.03531675987862816,0.05024298555020419,0.012127982808983417,1520.0,0.0245765626036476,0.28945966102865284,60,40
uid_shannon_logprob,0.9628019080767568,0.9668070005654922,0.014064937354882895,0.017148704730908338,-0.004005092488735373,993.0,0.14624348760827166,-0.26063849517162957,60,40
uid_variance_confidence_gap,1.0,1.0,2.1144192823116834e-16,1.9716529914051826e-16,0.0,1443.0,0.0767899553453424,0.0,60,40
uid_gini_confidence_gap,0.19049636835074327,0.157645711493167,0.04108173728293823,0.046737366374457176,0.032850656857576266,1714.0,0.00030270577644785323,0.7565652730059761,60,40
uid_shannon_confidence_gap,0.8986249432329286,0.912584539569967,0.02623996461190449,0.05234325566809451,-0.01395959633703836,668.0,0.00018429795464280636,-0.3598525314045451,60,40
uid_variance_entropy,1.0,1.0,1.7284317792233368e-16,1.8645510086115626e-16,0.0,1237.5,0.7801917953434772,0.0,60,40
uid_gini_entropy,0.4027079853277861,0.3799682452143555,0.07084590314773212,0.1308771351493735,0.022739740113430607,1542.0,0.01627072304854187,0.22925849454290426,60,40
uid_shannon_entropy,0.9281872850867916,0.9462169127647982,0.031151493441508346,0.03306748303601437,-0.018029627678006643,561.0,7.040173146433652e-06,-0.5647007505701871,60,40
